1000 1 200
150 62.5 6.25 12.5
37.5 156.25 12.5 6.25
75 196.875 12.5 3.125
62.5 118.75 12.5 3.125
153.125 87.5 3.125 12.5
37.5 118.75 12.5 3.125
25 196.875 12.5 3.125
150 137.5 12.5 12.5
75 37.5 12.5 12.5
146.875 37.5 3.125 12.5
150 162.5 12.5 12.5
162.5 109.375 12.5 3.125
175 109.375 12.5 3.125
103.125 12.5 3.125 12.5
75 121.875 12.5 3.125
62.5 106.25 12.5 3.125
125 115.625 12.5 3.125
62.5 100 12.5 3.125
25 103.125 12.5 3.125
150 193.75 12.5 3.125
0 143.75 12.5 3.125
62.5 0 12.5 3.125
96.875 75 3.125 12.5
125 146.875 12.5 3.125
37.5 59.375 12.5 3.125
125 131.25 12.5 3.125
181.25 75 3.125 12.5
112.5 165.625 12.5 3.125
12.5 6.25 12.5 3.125
137.5 62.5 3.125 12.5
137.5 137.5 12.5 3.125
37.5 128.125 12.5 3.125
175 156.25 12.5 3.125
106.25 62.5 3.125 12.5
37.5 125 12.5 3.125
25 9.375 12.5 3.125
0 137.5 12.5 3.125
140.625 62.5 3.125 12.5
12.5 0 12.5 3.125
156.25 62.5 3.125 12.5
62.5 75 6.25 12.5
162.5 62.5 12.5 12.5
90.625 75 3.125 12.5
25 115.625 12.5 3.125
137.5 140.625 12.5 3.125
62.5 187.5 12.5 3.125
62.5 121.875 12.5 3.125
90.625 50 3.125 12.5
71.875 25 3.125 12.5
137.5 12.5 3.125 12.5
171.875 25 3.125 12.5
50 153.125 12.5 3.125
118.75 87.5 6.25 12.5
112.5 115.625 12.5 3.125
143.75 12.5 3.125 12.5
25 187.5 12.5 3.125
87.5 109.375 12.5 3.125
150 103.125 12.5 3.125
150 196.875 12.5 3.125
62.5 103.125 12.5 3.125
68.75 37.5 3.125 12.5
143.75 37.5 3.125 12.5
150 12.5 12.5 12.5
0 103.125 12.5 3.125
25 181.25 12.5 3.125
137.5 106.25 12.5 3.125
162.5 115.625 12.5 3.125
112.5 0 12.5 12.5
140.625 37.5 3.125 12.5
143.75 62.5 6.25 12.5
93.75 50 3.125 12.5
50 193.75 12.5 3.125
37.5 150 12.5 6.25
25 100 12.5 3.125
75 0 12.5 3.125
162.5 37.5 3.125 12.5
50 37.5 12.5 12.5
162.5 137.5 12.5 12.5
165.625 37.5 3.125 12.5
175 115.625 12.5 3.125
12.5 196.875 12.5 3.125
50 162.5 12.5 3.125
0 12.5 12.5 6.25
137.5 37.5 3.125 12.5
106.25 12.5 3.125 12.5
75 103.125 12.5 3.125
81.25 75 3.125 12.5
109.375 12.5 3.125 12.5
87.5 118.75 12.5 3.125
118.75 37.5 6.25 3.125
168.75 190.625 6.25 3.125
56.25 68.75 3.125 6.25
